survey_time,correlation_id,gender,age,municipal_size,education,ideology,support_oppose,political_interest,"Aby sprawdzić, czy uważnie czytasz pytania, kliknij w drugą odpowiedź od góry.",false1_acc,false1_bias,false1_trust,false1_favor,false2_acc,false2_bias,false2_trust,false2_favor,true1_acc,true1_bias,true1_trust,true1_favor,true2_acc,true2_bias,true2_trust,true2_favor,true3_acc,true3_bias,true3_trust,true3_favor,Traditional.media,Social.media,Journalists,Scientists,Fact.checkers,University.Professors,P.L.Government,HL1_partisan_left_acc,HL1_partisan_left_bias,HL1_partisan_left_trust,HL1_partisan_left_favor,HL2_partisan_left_acc,HL2_partisan_left_bias,HL2_partisan_left_trust,HL2_partisan_left_favor,HL3_partisan_left_acc,HL3_partisan_left_bias,HL3_partisan_left_trust,HL3_partisan_left_favor,HL4_partisan_left_acc,HL4_partisan_left_bias,HL4_partisan_left_trust,HL4_partisan_left_favor,HL5_partisan_left_acc,HL5_partisan_left_bias,HL5_partisan_left_trust,HL5_partisan_left_favor,HL6_partisan_left_acc,HL6_partisan_left_bias,HL6_partisan_left_trust,HL6_partisan_left_favor,HL1_partisan_right_acc,HL1_partisan_right_bias,HL1_partisan_right_trust,HL1_partisan_right_favor,HL2_partisan_right_acc,HL2_partisan_right_bias,HL2_partisan_right_trust,HL2_partisan_right_favor,HL3_partisan_right_acc,HL3_partisan_right_bias,HL3_partisan_right_trust,HL3_partisan_right_favor,HL4_partisan_right_acc,HL4_partisan_right_bias,HL4_partisan_right_trust,HL4_partisan_right_favor,HL5_partisan_right_acc,HL5_partisan_right_bias,HL5_partisan_right_trust,HL5_partisan_right_favor,HL6_partisan_right_acc,HL6_partisan_right_bias,HL6_partisan_right_trust,HL6_partisan_right_favor,HL1_fake_acc,HL1_fake_bias,HL1_fake_trust,HL1_fake_favor,HL2_fake_acc,HL2_fake_bias,HL2_fake_trust,HL2_fake_favor,HL3_fake_acc,HL3_fake_bias,HL3_fake_trust,HL3_fake_favor,HL4_fake_acc,HL4_fake_bias,HL4_fake_trust,HL4_fake_favor,HL5_fake_acc,HL5_fake_bias,HL5_fake_trust,HL5_fake_favor,HL1_mainstr_left_acc,HL1_mainstr_left_bias,HL1_mainstr_left_trust,HL1_mainstr_left_favor,HL2_mainstr_left_acc,HL2_mainstr_left_bias,HL2_mainstr_left_trust,HL2_mainstr_left_favor,HL3_mainstr_left_acc,HL3_mainstr_left_bias,HL3_mainstr_left_trust,HL3_mainstr_left_favor,HL4_mainstr_left_acc,HL4_mainstr_left_bias,HL4_mainstr_left_trust,HL4_mainstr_left_favor,HL5_mainstr_left_acc,HL5_mainstr_left_bias,HL5_mainstr_left_trust,HL5_mainstr_left_favor,HL6_mainstr_left_acc,HL6_mainstr_left_bias,HL6_mainstr_left_trust,HL6_mainstr_left_favor,HL7_mainstr_left_acc,HL7_mainstr_left_bias,HL7_mainstr_left_trust,HL7_mainstr_left_favor,HL8_mainstr_left_acc,HL8_mainstr_left_bias,HL8_mainstr_left_trust,HL8_mainstr_left_favor,HL1_mainstr_right_acc,HL1_mainstr_right_bias,HL1_mainstr_right_trust,HL1_mainstr_right_favor,HL2_mainstr_right_acc,HL2_mainstr_right_bias,HL2_mainstr_right_trust,HL2_mainstr_right_favor,HL3_mainstr_right_acc,HL3_mainstr_right_bias,HL3_mainstr_right_trust,HL3_mainstr_right_favor,HL4_mainstr_right_acc,HL4_mainstr_right_bias,HL4_mainstr_right_trust,HL4_mainstr_right_favor,HL5_mainstr_right_acc,HL5_mainstr_right_bias,HL5_mainstr_right_trust,HL5_mainstr_right_favor,HL6_mainstr_right_acc,HL6_mainstr_right_bias,HL6_mainstr_right_trust,HL6_mainstr_right_favor,clicked,condition,comment_count,like_count,duration,treatment exposure question,MAGNAPOLONIA.ORG,WMERITUM.PL,POLSATNEWS.PL,PAP.PL,KONKRET24.TVN24.PL,TRUDAT.PL,FAKEHUNTER.PAP.PL,FAKENEWS.PL
10/11/22 18:03,24666218,mężczyzna,45 to 54,miasto (od 100 do 500 tys. mieszkańców r.),średnie,10,8,Trochę się interesuję  ,Ostatni rok,2,2,2,2,2,2,2,2,3,2,4,2,3,2,3,2,2,2,3,2,2,3,2,6,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;TRUDAT.PL=>No;WMERITUM.PL=>Yes;FAKEHUNTER.PAP.PL=>No;FAKENEWS.PL=>No;PAP.PL=>Yes;MAGNAPOLONIA.ORG=>Yes;POLSATNEWS.PL=>Yes;KONKRET24.TVN24.PL=>No,2,0,0,1388,1,Yes,Yes,Yes,Yes,No,No,No,No
10/11/22 16:50,30768120,mężczyzna,35 to 44,miasto (do 20 tys. mieszkańców r.),ukończone studia wyższe,6,0,Trochę się interesuję  ,Ostatni rok,3,3,3,3,1,2,2,3,3,2,3,1,3,2,3,1,2,2,3,3,4,4,5,5,5,5,2,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,;FAKENEWS.PL=>No;POLSATNEWS.PL=>No;PAP.PL=>Yes;WMERITUM.PL=>No;TRUDAT.PL=>Yes;MAGNAPOLONIA.ORG=>Yes;FAKEHUNTER.PAP.PL=>No;KONKRET24.TVN24.PL=>Yes,8,0,0,1048,1,Yes,No,No,Yes,Yes,Yes,No,No
10/11/22 16:38,77989863,mężczyzna,55 to 64,miasto (od 20 do 99 tys. mieszkańców r.),zasadnicze,4,0,Bardzo się interesuję  ,Ostatni rok,2,4,2,4,2,2,2,2,3,2,4,2,4,2,3,3,3,2,3,2,1,4,4,4,5,4,1,,,,,,,,,,,,,,,,,,,,,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,;WMERITUM.PL=>Yes;PAP.PL=>Yes;MAGNAPOLONIA.ORG=>Yes;POLSATNEWS.PL=>Yes;FAKENEWS.PL=>Yes;TRUDAT.PL=>Yes;KONKRET24.TVN24.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes,10,0,0,352,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10/11/22 14:43,37498642,mężczyzna,35 to 44,miasto (od 20 do 99 tys. mieszkańców r.),średnie,5,0,Niezbyt się interesuję  ,Ostatni rok,3,3,3,4,1,4,1,4,2,3,3,3,1,4,1,4,3,4,3,3,1,3,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;POLSATNEWS.PL=>No;KONKRET24.TVN24.PL=>No;FAKENEWS.PL=>No;WMERITUM.PL=>No;PAP.PL=>No;MAGNAPOLONIA.ORG=>No;TRUDAT.PL=>No;FAKEHUNTER.PAP.PL=>No,2,0,0,349,2,No,No,No,No,No,No,No,No
10/11/22 13:44,83280114,mężczyzna,45 to 54,miasto (powyżej 500 tys. mieszkańców r.),średnie,10,10,Bardzo się interesuję  ,Ostatni rok,1,1,4,1,1,1,1,1,4,1,4,1,2,1,4,1,4,1,4,1,4,1,2,4,4,4,7,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,;FAKEHUNTER.PAP.PL=>Yes;WMERITUM.PL=>Yes;FAKENEWS.PL=>Yes;MAGNAPOLONIA.ORG=>Yes;TRUDAT.PL=>Yes;POLSATNEWS.PL=>Yes;PAP.PL=>Yes;KONKRET24.TVN24.PL=>Yes,2,0,0,519,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10/11/22 13:43,34492443,mężczyzna,45 to 54,miasto (powyżej 500 tys. mieszkańców r.),pomaturalne/ policealne,5,0,Bardzo się interesuję  ,Ostatni rok,2,3,2,3,1,4,1,4,3,1,3,1,2,2,1,2,1,3,1,3,4,2,5,6,4,5,1,,,,,,,,,,,,,,,,,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WMERITUM.PL=>No;TRUDAT.PL=>No;MAGNAPOLONIA.ORG=>No;FAKENEWS.PL=>Yes;KONKRET24.TVN24.PL=>Yes;POLSATNEWS.PL=>No;PAP.PL=>No;WMERITUM.PL=>No;FAKEHUNTER.PAP.PL=>No;FAKEHUNTER.PAP.PL=>No,9,0,7,860,1,No,No,No,No,Yes,No,No,Yes
10/11/22 9:11,47418427,mężczyzna,35 to 44,miasto (do 20 tys. mieszkańców r.),średnie,5,5,Wcale się nie interesuje ,Ostatni rok,1,2,3,2,1,3,1,3,3,2,3,3,2,3,2,3,2,2,2,1,4,6,5,5,5,4,1,,,,,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,,,,,;FAKENEWS.PL=>Yes;WMERITUM.PL=>No;KONKRET24.TVN24.PL=>Yes;TRUDAT.PL=>Yes;POLSATNEWS.PL=>Yes;MAGNAPOLONIA.ORG=>Yes;PAP.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes,9,0,0,359,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
10/11/22 6:38,84653255,mężczyzna,25 to 34,wieś,podstawowe/ gimnazjum,5,2,Trochę się interesuję  ,Ostatni rok,2,3,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,2,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,,,,,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,;POLSATNEWS.PL=>Yes;PAP.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes;TRUDAT.PL=>Yes;KONKRET24.TVN24.PL=>Yes;WMERITUM.PL=>Yes;FAKENEWS.PL=>Yes;MAGNAPOLONIA.ORG=>Yes,2,0,1,390,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10/11/22 6:23,97539452,kobieta,25 to 34,miasto (do 20 tys. mieszkańców r.),ukończone studia wyższe,1,0,Trochę się interesuję  ,Ostatni rok,2,4,3,1,2,4,1,1,3,1,3,1,2,4,1,1,2,3,2,1,2,2,4,6,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,,,,,,,,,,,,,,,,,,,,,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WMERITUM.PL=>Yes;PAP.PL=>Yes;POLSATNEWS.PL=>Yes;MAGNAPOLONIA.ORG=>No;KONKRET24.TVN24.PL=>No;FAKEHUNTER.PAP.PL=>No;FAKENEWS.PL=>No;TRUDAT.PL=>No,10,0,0,622,,No,Yes,Yes,Yes,No,No,No,No
10/11/22 5:14,99478178,kobieta,35 to 44,miasto (od 100 do 500 tys. mieszkańców r.),ukończone studia wyższe,2,1,Bardzo się interesuję  ,Ostatni rok,3,1,3,1,2,1,1,1,3,1,3,1,3,1,3,1,3,1,3,1,3,2,3,6,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,4,,,,,,,,,,,,,;TRUDAT.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes;KONKRET24.TVN24.PL=>Yes;POLSATNEWS.PL=>Yes;PAP.PL=>Yes;FAKENEWS.PL=>No;WMERITUM.PL=>No;MAGNAPOLONIA.ORG=>Yes,8,0,0,472,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No
10/11/22 4:57,84063244,mężczyzna,55 to 64,miasto (od 100 do 500 tys. mieszkańców r.),średnie,2,0,Bardzo się interesuję  ,Ostatni rok,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,1,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WMERITUM.PL=>No;MAGNAPOLONIA.ORG=>No;TRUDAT.PL=>No;FAKENEWS.PL=>No;POLSATNEWS.PL=>No;PAP.PL=>No;FAKEHUNTER.PAP.PL=>No;KONKRET24.TVN24.PL=>No,7,0,0,317,2,No,No,No,No,No,No,No,No
