survey_time,correlation_id,gender,age,race,education,ideology,party.ID,political_interest,attn,false1_acc,false1_bias,false1_trust,false1_favor,true1_acc,true1_bias,true1_trust,true1_favor,true2_acc,true2_bias,true2_trust,true2_favor,false2_acc,false2_bias,false2_trust,false2_favor,true3_acc,true3_bias,true3_trust,true3_favor,Journalists,Fact-checkers,U.S. Government,University Professors,Social media,Traditional media,Scientists,HL1_partisan_left_acc,HL1_partisan_left_bias,HL1_partisan_left_trust,HL1_partisan_left_favor,HL2_partisan_left_acc,HL2_partisan_left_bias,HL2_partisan_left_trust,HL2_partisan_left_favor,HL3_partisan_left_acc,HL3_partisan_left_bias,HL3_partisan_left_trust,HL3_partisan_left_favor,HL4_partisan_left_acc,HL4_partisan_left_bias,HL4_partisan_left_trust,HL4_partisan_left_favor,HL5_partisan_left_acc,HL5_partisan_left_bias,HL5_partisan_left_trust,HL5_partisan_left_favor,HL6_partisan_left_acc,HL6_partisan_left_biased,HL6_partisan_left_trust,HL6_partisan_left_favor,HL1_partisan_right_acc,HL1_partisan_right_biased,HL1_partisan_right_trust,HL1_partisan_right_favor,HL2_partisan_right_acc,HL2_partisan_right_bias,HL2_partisan_right_trust,HL2_partisan_right_favor,HL3_partisan_right_acc,HL3_partisan_right_bias,HL3_partisan_right_trust,HL3_partisan_right_favor,HL4_partisan_right_acc,HL4_partisan_right_bias,HL4_partisan_right_trust,HL4_partisan_right_favor,HL5_partisan_right_acc,HL5_partisan_right_bias,HL5_partisan_right_trust,HL5_partisan_right_favor,HL6_partisan_right_acc,HL6_partisan_right_bias,HL6_partisan_right_trust ,HL6_partisan_right_favor,HL1_fake_left_acc,HL1_fake_left_bias,HL1_fake_left_trust,HL1_fake_left_favor,HL2_fake_left_acc,HL2_fake_left_bias,HL2_fake_left_trust,HL2_fake_left_favor,HL3_fake_left_acc,HL3_fake_left_bias,HL3_fake_left_trust,HL3_fake_left_favor,HL4_fake_left_acc,HL4_fake_left_bias,HL4_fake_left_trust,HL4_fake_left_favor,HL5_fake_left_acc,HL5_fake_left_bias,HL5_fake_left_trust,HL5_fake_left_favor,HL6_fake_left_acc,HL6_fake_left_bias,HL6_fake_left_trust,HL6_fake_left_favor,HL1_fake_right_acc,HL1_fake_right_bias,HL1_fake_right_trust,HL1_fake_right_favor,HL2_fake_right_acc,HL2_fake_right_bias,HL2_fake_right_trust,HL2_fake_right_favor,HL3_fake_right_acc,HL3_fake_right_bias,HL3_fake_right_trust,HL3_fake_right_favor,HL4_fake_right_acc,HL4_fake_right_bias,HL4_fake_right_trust,HL4_fake_right_favor,HL5_fake_right_acc,HL5_fake_right_bias,HL5_fake_right_trust,HL5_fake_right_favor,HL6_fake_right_acc,HL6_fake_right_bias,HL6_fake_right_trust,HL6_fake_right_favor,HL1_mainstr_left_acc,HL1_mainstr_left_bias,HL1_mainstr_left_trust,HL1_mainstr_left_favor,HL2_mainstr_left_acc,HL2_mainstr_left_bias,HL2_mainstr_left_trust,HL2_mainstr_left_favor,HL3_mainstr_left_acc,HL3_mainstr_left_bias,HL3_mainstr_left_trust,HL3_mainstr_left_favor,HL4_mainstr_left_acc,HL4_mainstr_left_bias,HL4_mainstr_left_trust,HL4_mainstr_left_favor,HL5_mainstr_left_acc,HL5_mainstr_left_bias,HL5_mainstr_left_trust,HL5_mainstr_left_favor,HL6_mainstr_left_acc,HL6_mainstr_left_bias,HL6_mainstr_left_trust,HL6_mainstr_left_favor,HL1_mainstr_right_acc,HL1_mainstr_right_bias,HL1_mainstr_right_trust,HL1_mainstr_right_favor,HL2_mainstr_right_acc,HL2_mainstr_right_bias,HL2_mainstr_right_trust,HL2_mainstr_right_favor,HL3_mainstr_right_acc,HL3_mainstr_right_bias,HL3_mainstr_right_trust,HL3_mainstr_right_favor,HL4_mainstr_right_acc,HL4_mainstr_right_bias,HL4_mainstr_right_trust,HL4_mainstr_right_favor,HL5_mainstr_right_acc,HL5_mainstr_right_bias,HL5_mainstr_right_trust,HL5_mainstr_right_favor,HL6_mainstr_right_acc,HL6_mainstr_right_bias,HL6_mainstr_right_trust,HL6_mainstr_right_favor,clicked,condition,comment_count,like_count,duration,treatment exposure question,NATIONALREPORT.COM,WORLDNEWSDAILYREPORT.COM,APNEWS.COM,USATODAY.COM,FACTCHECK.ORG,WASHINGTONPOST.COM,DIGITAL.COM,COMMONSENSE.ORG
9/13/22 13:24,MER9gY8QM800GJ8r5UqAvA**,Male,35 to 44,Other,College Degree,Somewhat liberal,"Independent, lean toward Democrat",Very interested,Last year,3,3,3,2,3,2,3,2,3,2,3,1,2,3,2,3,3,1,3,1,4,5,5,4,1,4,5,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WORLDNEWSDAILYREPORT.COM=>No;DIGITAL.COM=>Yes;APNEWS.COM=>Yes;USATODAY.COM=>Yes;COMMONSENSE.ORG=>Yes;FACTCHECK.ORG=>Yes;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>Yes,7,0,0,426,,No,No,Yes,Yes,Yes,Yes,Yes,Yes
10/9/22 8:30,MER9gY8QM8017t1pDd6x8w**,Female,65+,Non-Hispanic White,Some College Complete,Middle of the road,A strong Democrat,Not at all interested,Last year,3,2,3,2,3,2,3,3,3,1,3,2,2,2,2,2,3,2,3,4,4,3,5,4,1,4,6,,,,,,,,,,,,,,,,,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>No;DIGITAL.COM=>Yes;USATODAY.COM=>Yes;WASHINGTONPOST.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>Yes;APNEWS.COM=>Yes,10,0,0,308,,No,No,Yes,Yes,Yes,Yes,Yes,No
10/9/22 3:08,MER9gY8QM8019MTrDw0k0Q**,Female,55 to 64,Hispanic or Latino,Some College Complete,Somewhat conservative,A not very strong Republican,Not at all interested,Last year,2,2,1,1,3,1,3,3,1,1,1,1,1,1,1,1,2,1,3,2,6,4,5,6,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,;NATIONALREPORT.COM=>No;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>No;APNEWS.COM=>No;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;USATODAY.COM=>No;COMMONSENSE.ORG=>No;COMMONSENSE.ORG=>No;USATODAY.COM=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;DIGITAL.COM=>No;APNEWS.COM=>No;WASHINGTONPOST.COM=>No;NATIONALREPORT.COM=>No;FACTCHECK.ORG=>No,-1,0,8,604,,No,No,No,No,No,No,No,No
10/8/22 11:23,MER9gY8QM801GqX5SizQsw**,Female,55 to 64,Non-Hispanic White,Master's Degree,Somewhat liberal,"Independent, lean toward Democrat",Not very interested,Last year,3,3,3,3,2,3,2,3,3,2,3,2,2,3,2,2,3,2,3,2,3,4,3,4,2,3,4,,,,,,,,,,,,,,,,,,,,,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,;NATIONALREPORT.COM=>No;APNEWS.COM=>No;COMMONSENSE.ORG=>No;USATODAY.COM=>No;DIGITAL.COM=>No;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>No;WORLDNEWSDAILYREPORT.COM=>No,2,0,0,211,,No,No,No,No,No,No,No,No
10/11/22 1:15,MER9gY8QM801HCrH5smo_Q**,Female,65+,Non-Hispanic White,College Degree,Middle of the road,"Independent, lean toward Democrat",Very interested,Last year,3,3,3,3,1,4,2,3,3,2,3,3,2,3,2,3,3,4,3,4,7,7,4,5,1,5,6,,,,,,,,,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,,,,,;APNEWS.COM=>Yes;USATODAY.COM=>Yes;DIGITAL.COM=>No;NATIONALREPORT.COM=>Yes;COMMONSENSE.ORG=>No;WORLDNEWSDAILYREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;FACTCHECK.ORG=>Yes,4,0,0,1925,,Yes,No,Yes,Yes,Yes,Yes,No,No
11/1/22 14:44,MER9gY8QM802FbZvBhCVng**,Male,65+,Non-Hispanic White,Ph.D./Doctorate,Somewhat liberal,A strong Democrat,Very interested,Last year,2,3,2,3,3,3,3,3,3,4,3,3,1,4,1,2,3,2,3,3,6,6,6,5,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,,,,,,,,,,,,,,,,,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>Yes;APNEWS.COM=>No;USATODAY.COM=>Yes;DIGITAL.COM=>No;WASHINGTONPOST.COM=>Yes;FACTCHECK.ORG=>Yes;NATIONALREPORT.COM=>No,8,0,0,379,,No,No,No,Yes,Yes,Yes,No,Yes
10/21/22 21:34,MER9gY8QM8033rZUgPOr0g**,Male,45 to 54,Non-Hispanic White,Some High School or less,Middle of the road,Independent (close to neither party),Not at all interested,Last year,3,1,3,1,2,1,2,1,3,1,3,1,2,1,2,1,3,1,3,1,1,2,2,2,1,1,4,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>No;DIGITAL.COM=>No;APNEWS.COM=>No;COMMONSENSE.ORG=>No;NATIONALREPORT.COM=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No,8,0,0,443,,No,No,No,No,No,No,No,No
9/23/22 12:58,MER9gY8QM803eLhnIRTMAw**,Female,35 to 44,Non-Hispanic White,Some High School or less,Somewhat conservative,Independent (close to neither party),Not at all interested,Last year,3,1,3,3,3,3,3,2,4,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;USATODAY.COM=>No;APNEWS.COM=>No;DIGITAL.COM=>No;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>No,3,0,0,301,,No,No,No,No,No,No,No,No
9/12/22 22:30,MER9gY8QM803tneZ57SjwQ**,Female,65+,Non-Hispanic White,College Degree,Somewhat liberal,A strong Democrat,Very interested,Last year,3,2,4,1,3,1,3,4,4,1,4,4,3,3,3,3,4,1,4,1,6,6,6,6,1,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,;APNEWS.COM=>No;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;FACTCHECK.ORG=>Yes;USATODAY.COM=>Yes;DIGITAL.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>Yes,9,0,11,2240,,No,No,No,Yes,Yes,Yes,Yes,Yes
9/13/22 14:49,MER9gY8QM803uIct1uwMcA**,Female,55 to 64,Non-Hispanic White,Some College Complete,Middle of the road,Independent (close to neither party),Not at all interested,Last year,3,3,3,3,2,3,2,3,3,2,3,2,2,3,2,3,3,2,3,2,3,2,2,4,2,2,4,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,;DIGITAL.COM=>No;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>No;WORLDNEWSDAILYREPORT.COM=>No;APNEWS.COM=>No;USATODAY.COM=>No;USATODAY.COM=>No;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>No,1,0,0,332,,No,No,No,No,No,No,No,No
