survey_time,correlation_id,gender,age,race,education,ideology,party.ID,political_interest,attn,false1_acc,false1_bias,false1_trust,false1_favor,true1_acc,true1_bias,true1_trust,true1_favor,true2_acc,true2_bias,true2_trust,true2_favor,false2_acc,false2_bias,false2_trust,false2_favor,true3_acc,true3_bias,true3_trust,true3_favor,Journalists,Fact-checkers,U.S. Government,University Professors,Social media,Traditional media,Scientists,HL1_partisan_left_acc,HL1_partisan_left_bias,HL1_partisan_left_trust,HL1_partisan_left_favor,HL2_partisan_left_acc,HL2_partisan_left_bias,HL2_partisan_left_trust,HL2_partisan_left_favor,HL3_partisan_left_acc,HL3_partisan_left_bias,HL3_partisan_left_trust,HL3_partisan_left_favor,HL4_partisan_left_acc,HL4_partisan_left_bias,HL4_partisan_left_trust,HL4_partisan_left_favor,HL5_partisan_left_acc,HL5_partisan_left_bias,HL5_partisan_left_trust,HL5_partisan_left_favor,HL6_partisan_left_acc,HL6_partisan_left_biased,HL6_partisan_left_trust,HL6_partisan_left_favor,HL1_partisan_right_acc,HL1_partisan_right_biased,HL1_partisan_right_trust,HL1_partisan_right_favor,HL2_partisan_right_acc,HL2_partisan_right_bias,HL2_partisan_right_trust,HL2_partisan_right_favor,HL3_partisan_right_acc,HL3_partisan_right_bias,HL3_partisan_right_trust,HL3_partisan_right_favor,HL4_partisan_right_acc,HL4_partisan_right_bias,HL4_partisan_right_trust,HL4_partisan_right_favor,HL5_partisan_right_acc,HL5_partisan_right_bias,HL5_partisan_right_trust,HL5_partisan_right_favor,HL6_partisan_right_acc,HL6_partisan_right_bias,HL6_partisan_right_trust ,HL6_partisan_right_favor,HL1_fake_left_acc,HL1_fake_left_bias,HL1_fake_left_trust,HL1_fake_left_favor,HL2_fake_left_acc,HL2_fake_left_bias,HL2_fake_left_trust,HL2_fake_left_favor,HL3_fake_left_acc,HL3_fake_left_bias,HL3_fake_left_trust,HL3_fake_left_favor,HL4_fake_left_acc,HL4_fake_left_bias,HL4_fake_left_trust,HL4_fake_left_favor,HL5_fake_left_acc,HL5_fake_left_bias,HL5_fake_left_trust,HL5_fake_left_favor,HL6_fake_left_acc,HL6_fake_left_bias,HL6_fake_left_trust,HL6_fake_left_favor,HL1_fake_right_acc,HL1_fake_right_bias,HL1_fake_right_trust,HL1_fake_right_favor,HL2_fake_right_acc,HL2_fake_right_bias,HL2_fake_right_trust,HL2_fake_right_favor,HL3_fake_right_acc,HL3_fake_right_bias,HL3_fake_right_trust,HL3_fake_right_favor,HL4_fake_right_acc,HL4_fake_right_bias,HL4_fake_right_trust,HL4_fake_right_favor,HL5_fake_right_acc,HL5_fake_right_bias,HL5_fake_right_trust,HL5_fake_right_favor,HL6_fake_right_acc,HL6_fake_right_bias,HL6_fake_right_trust,HL6_fake_right_favor,HL1_mainstr_left_acc,HL1_mainstr_left_bias,HL1_mainstr_left_trust,HL1_mainstr_left_favor,HL2_mainstr_left_acc,HL2_mainstr_left_bias,HL2_mainstr_left_trust,HL2_mainstr_left_favor,HL3_mainstr_left_acc,HL3_mainstr_left_bias,HL3_mainstr_left_trust,HL3_mainstr_left_favor,HL4_mainstr_left_acc,HL4_mainstr_left_bias,HL4_mainstr_left_trust,HL4_mainstr_left_favor,HL5_mainstr_left_acc,HL5_mainstr_left_bias,HL5_mainstr_left_trust,HL5_mainstr_left_favor,HL6_mainstr_left_acc,HL6_mainstr_left_bias,HL6_mainstr_left_trust,HL6_mainstr_left_favor,HL1_mainstr_right_acc,HL1_mainstr_right_bias,HL1_mainstr_right_trust,HL1_mainstr_right_favor,HL2_mainstr_right_acc,HL2_mainstr_right_bias,HL2_mainstr_right_trust,HL2_mainstr_right_favor,HL3_mainstr_right_acc,HL3_mainstr_right_bias,HL3_mainstr_right_trust,HL3_mainstr_right_favor,HL4_mainstr_right_acc,HL4_mainstr_right_bias,HL4_mainstr_right_trust,HL4_mainstr_right_favor,HL5_mainstr_right_acc,HL5_mainstr_right_bias,HL5_mainstr_right_trust,HL5_mainstr_right_favor,HL6_mainstr_right_acc,HL6_mainstr_right_bias,HL6_mainstr_right_trust,HL6_mainstr_right_favor,clicked,condition,comment_count,like_count,duration,treatment exposure question,NATIONALREPORT.COM,WORLDNEWSDAILYREPORT.COM,APNEWS.COM,USATODAY.COM,FACTCHECK.ORG,WASHINGTONPOST.COM,DIGITAL.COM,COMMONSENSE.ORG
10/10/22 0:54,MER9gY8QM80MBeHggxAEVg**,Male,65+,Non-Hispanic White,Some College Complete,Middle of the road,"Independent, lean toward Democrat",Extremely interested,Last year,1,4,1,4,2,3,1,3,3,1,4,1,1,3,1,3,2,1,3,1,5,6,6,5,3,6,6,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,;FACTCHECK.ORG=>Yes;NATIONALREPORT.COM=>No;APNEWS.COM=>Yes;WASHINGTONPOST.COM=>No;USATODAY.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;DIGITAL.COM=>No,6,0,0,477,,No,No,Yes,Yes,Yes,No,No,No
9/13/22 14:00,MER9gY8QM80mf_qc28dqSg**,Female,65+,Non-Hispanic White,Some College Complete,Somewhat conservative,A strong Republican,Extremely interested,Last year,3,2,3,4,3,2,3,2,3,2,3,2,1,4,1,4,3,2,3,3,2,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;APNEWS.COM=>No;DIGITAL.COM=>No;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;WASHINGTONPOST.COM=>No;USATODAY.COM=>No;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>No,1,0,0,265,,No,No,No,No,Yes,No,No,No
10/11/22 15:26,MER9gY8QM80mfHM_v9ZqTg**,Female,55 to 64,Non-Hispanic White,College Degree,Somewhat conservative,A strong Republican,Very interested,Last year,1,3,2,4,3,2,3,2,4,2,3,2,1,3,1,4,3,1,3,1,3,1,3,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,;NATIONALREPORT.COM=>No;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>No;NATIONALREPORT.COM=>No;USATODAY.COM=>No;DIGITAL.COM=>Yes;COMMONSENSE.ORG=>Yes;APNEWS.COM=>No,9,0,0,1470,,No,No,No,No,No,No,Yes,Yes
10/9/22 3:39,MER9gY8QM80mhEla20H9mw**,Male,65+,Non-Hispanic White,High School Graduate,Somewhat conservative,"Independent, lean toward Republican",Somewhat interested,Last year,3,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,1,1,1,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,1,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,,,,,;NATIONALREPORT.COM=>No;USATODAY.COM=>No;COMMONSENSE.ORG=>No;WORLDNEWSDAILYREPORT.COM=>No;APNEWS.COM=>No;WASHINGTONPOST.COM=>No;DIGITAL.COM=>No;FACTCHECK.ORG=>No;FACTCHECK.ORG=>No,-1,0,8,656,,No,No,No,No,No,No,No,No
10/9/22 1:46,MER9gY8QM80mHRBbwUR3yg**,Female,55 to 64,Asian or Asian American,College Degree,Middle of the road,Independent (close to neither party),Somewhat interested,Last year,2,3,2,3,2,2,2,3,3,2,3,2,2,3,2,2,2,3,3,3,4,5,5,6,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>Yes;WASHINGTONPOST.COM=>Yes;NATIONALREPORT.COM=>Yes;USATODAY.COM=>No;DIGITAL.COM=>No;APNEWS.COM=>No,8,0,6,704,,Yes,No,No,No,Yes,Yes,No,Yes
10/8/22 14:19,MER9gY8QM80MIcbGPhVIPA**,Female,45 to 54,Non-Hispanic White,Ph.D./Doctorate,Middle of the road,Independent (close to neither party),Extremely interested,Last year,2,2,2,2,3,1,3,1,4,1,4,1,2,2,2,2,3,1,3,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;DIGITAL.COM=>No;FACTCHECK.ORG=>No;COMMONSENSE.ORG=>No;NATIONALREPORT.COM=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;WASHINGTONPOST.COM=>No;APNEWS.COM=>No,9,0,0,281,,No,No,No,No,No,No,No,No
10/26/22 21:01,MER9gY8QM80MkAFuKW6OJg**,Female,18 to 24,Black or African American,High School Graduate,Middle of the road,A not very strong Democrat,Somewhat interested,Last year,2,2,2,2,4,2,3,3,3,2,3,3,2,3,2,2,3,2,3,3,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;WASHINGTONPOST.COM=>Yes;NATIONALREPORT.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>Yes;APNEWS.COM=>Yes;DIGITAL.COM=>Yes;USATODAY.COM=>Yes;COMMONSENSE.ORG=>Yes,-1,1,3,309,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10/20/22 17:14,MER9gY8QM80myc8WdgUWEg**,Female,65+,Non-Hispanic White,College Degree,Somewhat liberal,"Independent, lean toward Democrat",Somewhat interested,Last year,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,1,3,2,3,2,4,6,5,4,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,;USATODAY.COM=>No;APNEWS.COM=>Yes;FACTCHECK.ORG=>Yes;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;DIGITAL.COM=>Yes,5,0,8,404,,No,No,Yes,No,Yes,Yes,Yes,No
9/13/22 13:33,MER9gY8QM80n9u533oe2Cg**,Female,45 to 54,Black or African American,College Degree,Middle of the road,Independent (close to neither party),Not very interested,Last year,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,4,2,4,4,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,;APNEWS.COM=>No;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;DIGITAL.COM=>No;FACTCHECK.ORG=>Yes;WASHINGTONPOST.COM=>Yes;USATODAY.COM=>No,-1,0,1,847,,No,No,No,No,Yes,Yes,No,Yes
9/12/22 22:05,MER9gY8QM80NbCHVCHY0Zg**,Male,65+,Non-Hispanic White,Some College Complete,Somewhat conservative,A not very strong Republican,Somewhat interested,Last year,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,1,1,1,3,1,1,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,;FACTCHECK.ORG=>No;APNEWS.COM=>No;USATODAY.COM=>No;COMMONSENSE.ORG=>No;WORLDNEWSDAILYREPORT.COM=>No;DIGITAL.COM=>No;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>No;NATIONALREPORT.COM=>No,-1,0,0,282,,No,No,No,No,No,No,No,No
9/14/22 14:02,MER9gY8QM80nGuA7Mfl_eQ**,Female,35 to 44,Non-Hispanic White,High School Graduate,Somewhat liberal,Independent (close to neither party),Not very interested,Last year,3,3,3,3,3,2,2,2,3,1,3,1,3,2,3,2,3,1,3,1,3,3,1,3,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,;USATODAY.COM=>;USATODAY.COM=>Yes;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;FACTCHECK.ORG=>No;NATIONALREPORT.COM=>No;APNEWS.COM=>Yes;NATIONALREPORT.COM=>;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>No;USATODAY.COM=>Yes,-1,0,1,571,,No,No,Yes,Yes,No,No,No,No
11/3/22 17:29,MER9gY8QM80Nh_DHivxWDg**,Male,65+,Non-Hispanic White,Master's Degree,Somewhat conservative,A not very strong Republican,Somewhat interested,Last year,2,3,2,3,3,1,3,1,3,2,2,2,2,3,3,3,3,2,3,2,2,6,4,4,1,3,6,,,,,,,,,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;USATODAY.COM=>Yes;USATODAY.COM=>No;DIGITAL.COM=>Yes;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>Yes;APNEWS.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>Yes;DIGITAL.COM=>Yes;USATODAY.COM=>No;WASHINGTONPOST.COM=>No;FACTCHECK.ORG=>Yes;APNEWS.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>Yes,8,0,1,898,,No,No,Yes,No,Yes,No,Yes,Yes
10/25/22 20:29,MER9gY8QM80nkDd6AXZmTw**,Male,25 to 34,Non-Hispanic White,High School Graduate,Very liberal,A strong Democrat,Very interested,Last year,2,3,2,3,1,3,1,3,4,1,4,1,1,4,1,4,4,2,4,1,6,7,5,7,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;COMMONSENSE.ORG=>No;DIGITAL.COM=>Yes;APNEWS.COM=>Yes;NATIONALREPORT.COM=>No;USATODAY.COM=>Yes;WASHINGTONPOST.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No,10,0,8,270,,No,No,Yes,Yes,Yes,Yes,Yes,No
10/12/22 18:40,MER9gY8QM80nPapPk_mU0Q**,Female,25 to 34,Black or African American,Some College Complete,Very liberal,A strong Democrat,Somewhat interested,Last year,3,2,3,2,3,3,3,2,3,2,3,2,2,2,3,2,3,3,3,2,6,2,4,6,3,4,6,,,,,,,,,,,,,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;APNEWS.COM=>No;USATODAY.COM=>No;COMMONSENSE.ORG=>No;FACTCHECK.ORG=>No,-1,0,0,515,,No,No,No,No,No,Yes,No,No
9/13/22 12:35,MER9gY8QM80NYQoxBGTY8A**,Male,35 to 44,Non-Hispanic White,High School Graduate,Very conservative,A strong Republican,Very interested,Last year,2,4,2,4,2,1,3,1,2,3,3,4,2,3,2,1,3,2,3,2,4,4,5,6,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;USATODAY.COM=>No;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;DIGITAL.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;APNEWS.COM=>Yes;COMMONSENSE.ORG=>No,2,0,3,411,,No,No,Yes,No,Yes,Yes,Yes,No
9/13/22 16:04,MER9gY8QM80o4rE4k-LSFg**,Female,65+,Non-Hispanic White,Master's Degree,Somewhat liberal,A strong Democrat,Very interested,Last year,2,3,2,3,3,2,3,1,4,1,3,1,2,2,2,2,4,1,4,1,4,4,3,4,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;APNEWS.COM=>Yes;COMMONSENSE.ORG=>No;WORLDNEWSDAILYREPORT.COM=>Yes;WASHINGTONPOST.COM=>No;NATIONALREPORT.COM=>No;DIGITAL.COM=>No;USATODAY.COM=>No,10,0,0,384,,No,Yes,Yes,No,Yes,No,No,No
9/13/22 13:12,MER9gY8QM80o6hgZFNwHVw**,Male,65+,Non-Hispanic White,Master's Degree,Middle of the road,"Independent, lean toward Democrat",Extremely interested,Last year,3,1,3,1,3,2,3,2,3,2,3,1,2,1,3,1,3,1,3,1,6,6,5,6,1,6,6,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,;NATIONALREPORT.COM=>No;NATIONALREPORT.COM=>No;FACTCHECK.ORG=>Yes;DIGITAL.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;USATODAY.COM=>Yes;APNEWS.COM=>Yes;WASHINGTONPOST.COM=>Yes,9,0,11,556,,No,No,Yes,Yes,Yes,Yes,Yes,No
11/4/22 15:29,MER9gY8QM80O7SZDouFLRA**,Male,65+,Non-Hispanic White,Master's Degree,Middle of the road,Independent (close to neither party),Very interested,Last year,3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,5,4,4,4,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;NATIONALREPORT.COM=>No;APNEWS.COM=>Yes;WASHINGTONPOST.COM=>Yes;COMMONSENSE.ORG=>No;DIGITAL.COM=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>Yes,-1,0,3,410,,No,No,Yes,No,Yes,Yes,No,No
9/12/22 21:42,MER9gY8QM80o9SpxFjBgVw**,Female,18 to 24,Non-Hispanic White,High School Graduate,Very liberal,"Independent, lean toward Republican",Extremely interested,Last year,3,3,2,4,3,4,3,2,3,2,3,2,4,3,3,2,3,2,2,3,7,4,5,5,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,;COMMONSENSE.ORG=>Yes;NATIONALREPORT.COM=>Yes;USATODAY.COM=>Yes;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;WASHINGTONPOST.COM=>No;DIGITAL.COM=>Yes;APNEWS.COM=>Yes,8,0,3,152,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
10/5/22 5:11,MER9gY8QM80OB2eQ_7-YJw**,Male,45 to 54,Asian or Asian American,Ph.D./Doctorate,Very liberal,"Independent, lean toward Democrat",Very interested,Last year,2,3,2,3,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,5,6,4,6,1,5,6,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,;WASHINGTONPOST.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>Yes;FACTCHECK.ORG=>No;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>Yes;DIGITAL.COM=>No;FACTCHECK.ORG=>No;WASHINGTONPOST.COM=>Yes;USATODAY.COM=>No;NATIONALREPORT.COM=>No;APNEWS.COM=>No;COMMONSENSE.ORG=>Yes;WASHINGTONPOST.COM=>Yes;FACTCHECK.ORG=>No;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>Yes,9,0,1,410,,No,Yes,No,No,No,Yes,No,Yes
10/16/22 23:34,MER9gY8QM80oFEhWHR8gZA**,Male,55 to 64,Other,College Degree,Somewhat conservative,Independent (close to neither party),Very interested,Last year,2,3,2,3,2,2,2,2,3,3,3,3,2,2,2,3,3,2,3,2,1,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,;USATODAY.COM=>No;USATODAY.COM=>No;FACTCHECK.ORG=>No;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;USATODAY.COM=>No;APNEWS.COM=>;APNEWS.COM=>Yes;WASHINGTONPOST.COM=>No;DIGITAL.COM=>No;APNEWS.COM=>No,-1,0,0,339,,No,No,No,No,No,No,No,No
9/13/22 15:54,MER9gY8QM80on4sPZm9Z3w**,Female,55 to 64,Non-Hispanic White,Some College Complete,Somewhat conservative,A not very strong Republican,Not at all interested,Last year,2,2,2,2,3,3,3,3,3,4,3,3,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;COMMONSENSE.ORG=>No;APNEWS.COM=>Yes;USATODAY.COM=>No;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>Yes;DIGITAL.COM=>No;DIGITAL.COM=>No;WASHINGTONPOST.COM=>No,2,0,0,369,,No,No,Yes,No,Yes,No,No,No
10/29/22 20:53,MER9gY8QM80oNKImoPxtSA**,Male,55 to 64,Non-Hispanic White,Some College Complete,Very liberal,A strong Democrat,Very interested,Last year,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,4,5,4,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,;APNEWS.COM=>Yes;DIGITAL.COM=>Yes;COMMONSENSE.ORG=>Yes;WASHINGTONPOST.COM=>Yes;NATIONALREPORT.COM=>No;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>No;DIGITAL.COM=>Yes;APNEWS.COM=>Yes;COMMONSENSE.ORG=>Yes;WASHINGTONPOST.COM=>Yes;NATIONALREPORT.COM=>No;USATODAY.COM=>No;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No,7,0,1,274,,No,No,Yes,No,Yes,Yes,Yes,Yes
10/22/22 19:46,MER9gY8QM80oqNHGeZrGMg**,Female,45 to 54,Non-Hispanic White,Master's Degree,Somewhat conservative,"Independent, lean toward Republican",Somewhat interested,Last year,3,4,3,3,1,1,1,4,3,3,3,1,2,4,2,4,3,2,3,2,2,1,2,2,2,2,2,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,4,,,,,;WASHINGTONPOST.COM=>No;DIGITAL.COM=>No;NATIONALREPORT.COM=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>No;COMMONSENSE.ORG=>No;APNEWS.COM=>No,-1,0,0,394,,No,No,No,No,No,No,No,No
