correlation_id,gender,age,education ,residency,birth_place,party,political_interest,ATTN,False1_acc,False1_bias,False1_trust,False1_favor,False2_acc,False2_bias,False2_trust,False2_favor,True1_acc,True1_bias,True1_trust,True1_favor,True2_acc,True2_bias,True2_trust,True2_favor,True3_acc,True3_bias,True3_trust,True3_favor,lagacy_media,social_media,journalist,scientist,factchecker,uni_professor,government,HL1_partisan_democracy_acc,HL1_partisan_democracy_bias,HL1_partisan_democracy_trust,HL1_partisan_democracy_favor,HL2_partisan_democracy_acc,HL2_partisan_democracy_bias,HL2_partisan_democracy_trust,HL2_partisan_democracy_favor,HL3_partisan_democracy_acc,HL3_partisan_democracy_bias,HL3_partisan_democracy_trust,HL3_partisan_democracy_favor,HL4_partisan_democracy_acc,HL4_partisan_democracy_bias,HL4_partisan_democracy_trust,HL4_partisan_democracy_favor,HL5_partisan_democracy_acc,HL5_partisan_democracy_bias,HL5_partisan_democracy_trust,HL5_partisan_democracy_favor,HL6_partisan_democracy_acc,HL6_partisan_democracy_bias,HL6_partisan_democracy_trust,HL6_partisan_democracy_favor,HL1_partisan_Beijing_acc,HL1_partisan_Beijing_bias,HL1_partisan_Beijing_trust,HL1_partisan_Beijing_favor,HL2_partisan_Beijing_acc,HL2_partisan_Beijing_bias,HL2_partisan_Beijing_trust,HL2_partisan_Beijing_favor,HL3_partisan_Beijing_acc,HL3_partisan_Beijing_bias,HL3_partisan_Beijing_trust,HL3_partisan_Beijing_favor,HL4_partisan_Beijing_acc,HL4_partisan_Beijing_bias,HL4_partisan_Beijing_trust,HL4_partisan_Beijing_favor,HL5_partisan_Beijing_acc,HL5_partisan_Beijing_bias,HL5_partisan_Beijing_trust,HL5_partisan_Beijing_favor,HL6_partisan_Beijing_acc,HL6_partisan_Beijing_bias,HL6_partisan_Beijing_trust,HL6_partisan_Beijing_favor,HL1_fake_democracy_acc,HL1_fake_democracy_bias,HL1_fake_democracy_trust,HL1_fake_democracy_favor,HL2_fake_democracy_acc,HL2_fake_democracy_bias,HL2_fake_democracy_trust,HL2_fake_democracy_favor,HL3_fake_democracy_acc,HL3_fake_democracy_bias,HL3_fake_democracy_trust,HL3_fake_democracy_favor,HL4_fake_democracy_acc,HL4_fake_democracy_bias,HL4_fake_democracy_trust,HL4_fake_democracy_favor,HL5_fake_democracy_acc,HL5_fake_democracy_bias,HL5_fake_democracy_trust,HL5_fake_democracy_favor,HL6_fake_democracy_acc,HL6_fake_democracy_bias,HL6_fake_democracy_trust,HL6_fake_democracy_favor,HL1_fake_Beijng_acc,HL1_fake_Beijng_bias,HL1_fake_Beijng_trust,HL1_fake_Beijng_favor,HL2_fake_Beijng_acc,HL2_fake_Beijng_bias,HL2_fake_Beijng_trust,HL2_fake_Beijng_favor,HL3_fake_Beijng_acc,HL3_fake_Beijng_bias,HL3_fake_Beijng_trust,HL3_fake_Beijng_favor,HL4_fake_Beijng_acc,HL4_fake_Beijng_bias,HL4_fake_Beijng_trust,HL4_fake_Beijng_favor,HL5_fake_Beijng_acc,HL5_fake_Beijng_bias,HL5_fake_Beijng_trust,HL5_fake_Beijng_favor,HL6_fake_Beijng_acc,HL6_fake_Beijng_bias,HL6_fake_Beijng_trust,HL6_fake_Beijng_favor,HL1_acc_democracy_acc,HL1_acc_democracy_bias,HL1_acc_democracy_trust,HL1_acc_democracy_favor,HL2_acc_democracy_acc,HL2_acc_democracy_bias,HL2_acc_democracy_trust,HL2_acc_democracy_favor,HL3_acc_democracy_acc,HL3_acc_democracy_bias,HL3_acc_democracy_trust,HL3_acc_democracy_favor,HL4_acc_democracy_acc,HL4_acc_democracy_bias,HL4_acc_democracy_trust,HL4_acc_democracy_favor,HL5_acc_democracy_acc,HL5_acc_democracy_bias,HL5_acc_democracy_trust,HL5_acc_democracy_favor,HL6_acc_democracy_acc,HL6_acc_democracy_bias,HL6_acc_democracy_trust,HL6_acc_democracy_favor,HL1_acc_Beijing_acc,HL1_acc_Beijing_bias,HL1_acc_Beijing_trust,HL1_acc_Beijing_favor,HL2_acc_Beijing_acc,HL2_acc_Beijing_bias,HL2_acc_Beijing_trust,HL2_acc_Beijing_favor,HL3_acc_Beijing_acc,HL3_acc_Beijing_bias,HL3_acc_Beijing_trust,HL3_acc_Beijing_favor,HL4_acc_Beijing_acc,HL4_acc_Beijing_bias,HL4_acc_Beijing_trust,HL4_acc_Beijing_favor,HL5_acc_Beijing_acc,HL5_acc_Beijing_bias,HL5_acc_Beijing_trust,HL5_acc_Beijing_favor,HL6_acc_Beijing_acc,HL6_acc_Beijing_bias,HL6_acc_Beijing_trust,HL6_acc_Beijing_favor,clicked,condition,comment_count,like,duration,treatment exposure question,Headliner,Cemeterynews,SCMP,RTHK,Factcheck_lab,HKBU_Factcheck,Media_literacy,CMEF,CMEF.ORG.HK
R_9nMBwRZ62H6pkTD,1,2,6,1,1,4,4,1,3,3,3,2,3,3,4,2,3,2,3,3,3,3,2,3,3,3,3,2,6,5,6,6,5,5,7,,,,,,,,,,,,,,,,,,,,,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,,,,,,,,,,,,,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;MEDIALITERACY.HK=>;MEDIALITERACY.HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACKCHECK.HKBU.EDU.HK=>No;CEMETERYNEWS.ORG=>Yes;SCMP.COM/HK=>No;FACTCHECKLAB.ORG=>Yes;RTHK.HK=>No;CMEF.ORG.HK=>Yes;MEDIALITERACY.HK=>No,9,0,8,799,1,Yes,Yes,No,No,Yes,No,No,Yes,
R_5oIS8mhVoReokdb,1,4,6,1,1,1,3,1,3,4,4,3,3,3,3,3,3,3,4,4,4,3,4,3,3,4,4,4,6,6,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACKCHECK.HKBU.EDU.HK=>Yes;SCMP.COM/HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CEMETERYNEWS.ORG=>Yes;MEDIALITERACY.HK=>Yes;FACTCHECKLAB.ORG=>Yes;RTHK.HK=>Yes;CMEF.ORG.HK=>Yes,6,0,1,661,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
R_1CJyjeJ95JM3vau,1,4,4,1,1,4,4,1,2,3,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,5,3,5,4,3,4,5,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,;CMEF.ORG.HK=>Yes;MEDIALITERACY.HK=>No;SCMP.COM/HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;FACTCHECKLAB.ORG=>No;RTHK.HK=>Yes;RTHK.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;CEMETERYNEWS.ORG=>No,2,0,0,366,2,No,No,Yes,Yes,No,Yes,No,Yes,
R_279kdsFGYWLSEYV,1,3,8,1,1,3,2,1,3,2,3,3,2,3,2,3,3,2,4,1,3,1,4,1,3,2,3,2,5,4,5,4,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;SCMP.COM/HK=>No;FACTCHECKLAB.ORG=>Yes;MEDIALITERACY.HK=>No;FACKCHECK.HKBU.EDU.HK=>No;CMEF.ORG.HK=>No;CEMETERYNEWS.ORG=>No;RTHK.HK=>Yes,7,0,1,240,2,Yes,No,No,Yes,Yes,No,No,No,
R_24p9NLvi6PqyPHU,1,1,6,1,1,2,4,1,3,3,3,3,2,2,2,3,2,3,2,1,4,1,3,1,4,2,4,1,4,4,5,5,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;CEMETERYNEWS.ORG=>No;FACKCHECK.HKBU.EDU.HK=>Yes;SCMP.COM/HK=>Yes;MEDIALITERACY.HK=>No;RTHK.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CMEF.ORG.HK=>Yes;FACTCHECKLAB.ORG=>Yes,10,0,1,182,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,
R_24xYRJITtiIIb61,1,3,6,1,1,2,2,1,3,2,3,2,2,2,3,3,3,2,3,2,3,1,3,1,2,2,3,1,4,4,5,5,4,4,2,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACTCHECKLAB.ORG=>Yes;CEMETERYNEWS.ORG=>Yes;RTHK.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;MEDIALITERACY.HK=>No;SCMP.COM/HK=>No;CMEF.ORG.HK=>No,10,0,0,272,,Yes,Yes,No,No,Yes,Yes,No,No,
R_2DNShRznMSt7DTH,1,3,6,1,1,3,3,1,3,2,3,1,2,3,2,1,2,3,2,3,2,1,3,1,2,1,2,3,1,2,4,6,7,2,1,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECKLAB.ORG=>Yes;CMEF.ORG.HK=>Yes;CEMETERYNEWS.ORG=>No;MEDIALITERACY.HK=>No;FACKCHECK.HKBU.EDU.HK=>No;SCMP.COM/HK=>Yes;RTHK.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes,9,0,0,423,1,Yes,No,Yes,No,Yes,No,No,Yes,
R_QlHgAr43RLNII5b,1,3,7,1,1,3,2,1,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,4,1,4,1,5,3,5,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,;FACTCHECKLAB.ORG=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>Yes;CEMETERYNEWS.ORG=>No;CMEF.ORG.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;MEDIALITERACY.HK=>Yes;SCMP.COM/HK=>Yes,1,0,1,302,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,
R_C2qdmYs4fDBfP8d,1,3,6,1,1,3,3,1,1,4,1,4,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,4,6,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;CMEF.ORG.HK=>No;RTHK.HK=>No;MEDIALITERACY.HK=>No;FACTCHECKLAB.ORG=>Yes;SCMP.COM/HK=>Yes;CEMETERYNEWS.ORG=>No;FACKCHECK.HKBU.EDU.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes,8,0,0,219,1,Yes,No,Yes,No,Yes,Yes,No,No,
R_bvVMa1xIhRAoZe9,1,3,6,1,1,3,2,1,2,2,3,3,2,3,3,3,2,3,2,2,2,3,2,3,3,2,2,2,5,4,4,3,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,,,,,,,,,,,,,,,,;FACTCHECKLAB.ORG=>Yes;MEDIALITERACY.HK=>No;CEMETERYNEWS.ORG=>Yes;CMEF.ORG.HK=>Yes;FACKCHECK.HKBU.EDU.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>Yes;SCMP.COM/HK=>No;FACTCHECKLAB.ORG=>Yes,9,0,0,175,1,Yes,Yes,No,Yes,Yes,No,No,Yes,
R_zcALtldGoeNNrKF,1,3,3,1,1,3,2,1,3,2,3,2,2,3,2,3,2,3,2,3,3,2,3,2,2,3,2,3,4,4,4,6,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,;CEMETERYNEWS.ORG=>No;SCMP.COM/HK=>No;RTHK.HK=>No;CMEF.ORG.HK=>No;MEDIALITERACY.HK=>No;FACTCHECKLAB.ORG=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes,8,0,1,201,1,Yes,No,No,No,Yes,Yes,No,No,
R_10Cacpt4xaF0IBq,1,2,6,1,1,4,2,1,2,3,2,3,3,4,2,2,2,3,3,3,2,3,2,2,3,3,2,3,4,3,4,5,6,4,5,,,,,,,,,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,;CEMETERYNEWS.ORG=>No;SCMP.COM/HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;MEDIALITERACY.HK=>Yes;RTHK.HK=>Yes;CMEF.ORG.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;FACTCHECKLAB.ORG=>Yes,7,0,0,191,1,No,No,Yes,Yes,Yes,Yes,Yes,No,
R_RxZYsPIs2jK2RQB,1,2,4,1,1,3,1,1,2,3,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,2,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CMEF.ORG.HK=>No;MEDIALITERACY.HK=>No;FACTCHECKLAB.ORG=>No;RTHK.HK=>;RTHK.HK=>;RTHK.HK=>;RTHK.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>Yes;CEMETERYNEWS.ORG=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;SCMP.COM/HK=>No,9,0,0,526,1,Yes,Yes,No,Yes,No,Yes,No,No,
R_2uILsE3ntwcvoF6,1,4,6,1,1,2,4,1,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,4,2,2,5,3,5,2,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;CMEF.ORG.HK=>No;MEDIALITERACY.HK=>No;CEMETERYNEWS.ORG=>Yes;FACTCHECKLAB.ORG=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACKCHECK.HKBU.EDU.HK=>No;RTHK.HK=>No;SCMP.COM/HK=>No,10,0,0,181,,Yes,Yes,No,No,No,No,No,No,
R_27U78wMOmmyPtYR,1,1,6,1,1,2,2,1,3,2,4,2,2,3,2,3,2,3,2,3,3,1,3,1,3,3,4,1,3,4,4,5,5,4,2,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;CEMETERYNEWS.ORG=>No;SCMP.COM/HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;CMEF.ORG.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>Yes;FACTCHECKLAB.ORG=>Yes;MEDIALITERACY.HK=>Yes,1,0,0,374,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,
R_2AKZYNR2ysEt98E,1,3,,1,1,3,2,1,3,3,3,3,2,3,2,3,1,4,1,4,2,2,2,2,3,2,3,2,3,2,3,4,3,4,3,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,;RTHK.HK=>;RTHK.HK=>;RTHK.HK=>;RTHK.HK=>;RTHK.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACTCHECKLAB.ORG=>No;FACKCHECK.HKBU.EDU.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;RTHK.HK=>Yes;MEDIALITERACY.HK=>No;SCMP.COM/HK=>Yes;CEMETERYNEWS.ORG=>No;CMEF.ORG.HK=>No,10,0,1,459,,Yes,No,Yes,Yes,No,Yes,No,No,
R_SDBHFKXrrVYaiaZ,1,5,3,1,1,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,3,2,4,4,5,4,4,4,3,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACKCHECK.HKBU.EDU.HK=>No;FACTCHECKLAB.ORG=>No;FACKCHECK.HKBU.EDU.HK=>No;CEMETERYNEWS.ORG=>No;RTHK.HK=>No;CMEF.ORG.HK=>No;SCMP.COM/HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;MEDIALITERACY.HK=>No,2,0,0,691,2,No,No,No,No,No,No,No,No,
R_By3RGrRYuwhD9Jv,1,4,4,1,1,3,4,1,1,4,1,4,1,4,1,4,2,3,2,3,3,1,3,1,3,3,3,3,5,4,5,6,5,5,5,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;SCMP.COM/HK=>Yes;MEDIALITERACY.HK=>No;FACTCHECKLAB.ORG=>No;FACKCHECK.HKBU.EDU.HK=>No;CMEF.ORG.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;CEMETERYNEWS.ORG=>No;RTHK.HK=>Yes,1,0,0,436,1,No,No,Yes,Yes,No,No,No,No,
R_2QX5yn4Kio6SoXQ,1,3,6,1,1,3,2,1,3,2,3,2,2,3,2,2,1,2,2,2,3,2,3,2,4,1,4,1,4,3,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,;CMEF.ORG.HK=>No;MEDIALITERACY.HK=>No;FACKCHECK.HKBU.EDU.HK=>No;CEMETERYNEWS.ORG=>No;SCMP.COM/HK=>No;RTHK.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;FACTCHECKLAB.ORG=>No,8,0,0,403,1,No,No,No,No,No,No,No,No,
R_qVCuMqkSwDwuK6B,1,1,3,1,1,3,4,1,2,3,3,2,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,2,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,;FACTCHECKLAB.ORG=>Yes;MEDIALITERACY.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;CMEF.ORG.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CEMETERYNEWS.ORG=>No;SCMP.COM/HK=>No;RTHK.HK=>No,10,0,6,182,,Yes,No,No,No,Yes,Yes,No,No,
R_1cZDYvJ8zpNPlLL,1,1,4,1,1,3,4,1,2,1,1,1,2,2,1,2,1,1,1,3,2,2,2,1,1,1,1,1,5,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;RTHK.HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;CMEF.ORG.HK=>Yes;SCMP.COM/HK=>Yes;SCMP.COM/HK=>Yes;MEDIALITERACY.HK=>Yes;CEMETERYNEWS.ORG=>No;FACTCHECKLAB.ORG=>No,10,1,8,322,,No,No,Yes,Yes,No,Yes,Yes,Yes,
R_2qCPOZ34WxV228K,1,2,6,1,1,3,4,1,1,3,1,1,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4,3,4,2,4,3,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,;CMEF.ORG.HK=>Yes;MEDIALITERACY.HK=>Yes;CEMETERYNEWS.ORG=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;RTHK.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACTCHECKLAB.ORG=>Yes;SCMP.COM/HK=>No,6,0,1,248,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,
R_RVVVnqMPOYSbK5b,1,4,6,1,1,2,2,1,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3,3,3,2,3,1,4,4,4,3,5,4,3,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;CMEF.ORG.HK=>Yes;RTHK.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACTCHECKLAB.ORG=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;MEDIALITERACY.HK=>Yes;SCMP.COM/HK=>Yes;CEMETERYNEWS.ORG=>No,9,0,0,357,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
R_AsNdrWLgX4wavS1,1,3,5,1,1,2,3,1,2,2,3,3,2,3,2,3,3,2,3,2,4,3,1,4,3,2,2,2,2,3,5,5,5,5,5,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;SCMP.COM/HK=>Yes;MEDIALITERACY.HK=>No;RTHK.HK=>Yes;CEMETERYNEWS.ORG=>Yes;CMEF.ORG.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACKCHECK.HKBU.EDU.HK=>No;FACTCHECKLAB.ORG=>No,7,0,0,333,2,Yes,Yes,Yes,Yes,No,No,No,No,
R_3C53LJ7CxBlFC13,1,3,5,1,1,3,2,1,3,2,3,2,1,4,1,4,3,2,3,2,4,1,4,1,4,1,4,1,2,4,2,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CMEF.ORG.HK=>Yes;RTHK.HK=>No;FACKCHECK.HKBU.EDU.HK=>No;SCMP.COM/HK=>No;FACTCHECKLAB.ORG=>Yes;MEDIALITERACY.HK=>No;CEMETERYNEWS.ORG=>Yes,1,0,2,650,2,Yes,Yes,No,No,Yes,No,No,Yes,
